epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2181.39,1.47529,0.94404,1.33408,0.81122,0.72301,0.76021,0.38427,1.90726,0.9938,1.58911,0.00118317,0.00118317,0.00118317
56,2220.24,1.46201,0.90317,1.31584,0.88356,0.75995,0.80362,0.38894,1.85308,0.93013,1.52415,0.00118194,0.00118194,0.00118194
57,2260.37,1.46179,0.92107,1.33946,0.81645,0.73992,0.79079,0.36888,1.95781,1.02518,1.60654,0.0011807,0.0011807,0.0011807
58,2298.57,1.47225,0.91176,1.324,0.82923,0.75101,0.8045,0.37698,1.90824,0.96055,1.56833,0.00117946,0.00117946,0.00117946
59,2338.34,1.4888,0.92539,1.31018,0.84323,0.76027,0.81791,0.38167,1.92325,0.93322,1.58129,0.00117822,0.00117822,0.00117822
60,2377.25,1.47635,0.95428,1.35065,0.81365,0.7219,0.76966,0.38476,2.02748,1.01886,1.67845,0.00117699,0.00117699,0.00117699
61,2414.44,1.43524,0.88312,1.28676,0.83703,0.77659,0.81819,0.41505,1.91657,0.92622,1.61167,0.00117575,0.00117575,0.00117575
62,2454.54,1.40592,0.87712,1.29348,0.82176,0.76828,0.78839,0.37826,1.95958,0.9701,1.64546,0.00117451,0.00117451,0.00117451
63,2493.06,1.45875,0.91118,1.31143,0.8307,0.74898,0.81869,0.38779,1.86922,1.06024,1.60511,0.00117327,0.00117327,0.00117327
64,2533.16,1.47028,0.9252,1.3299,0.8489,0.72212,0.80224,0.37438,1.9051,0.96575,1.56226,0.00117204,0.00117204,0.00117204
65,2573.31,1.42616,0.88069,1.29285,0.86383,0.77655,0.82185,0.39122,1.91245,0.9593,1.56453,0.0011708,0.0011708,0.0011708
66,2611.8,1.42956,0.87005,1.29601,0.86377,0.74583,0.81451,0.40225,1.85116,0.95523,1.54936,0.00116956,0.00116956,0.00116956
67,2652.5,1.41028,0.87572,1.28614,0.86915,0.78801,0.83318,0.39773,1.86668,0.93326,1.55884,0.00116833,0.00116833,0.00116833
68,2690.53,1.37721,0.838,1.26533,0.92386,0.73023,0.81403,0.39886,1.88841,0.95077,1.63634,0.00116709,0.00116709,0.00116709
69,2731.09,1.39341,0.86388,1.28571,0.89678,0.75196,0.82943,0.40744,1.93817,0.96759,1.60618,0.00116585,0.00116585,0.00116585
